"period","H","TB","AB","PA","BB","HR","K","SF","AVG","SLG","OBP","OPS","BABIP","Kpct","BBpct","OPSplus","avgEV","avgLA","battedballsnum","hardhitnum","hardhitrate"
"After",40,72,127,133,6,8,31,0,0.31496062992126,0.566929133858268,0.345864661654135,0.912793795512403,0.363636363636364,0.233082706766917,0.0451127819548872,183,86.028,21.3257142857143,96,47,0.489583333333333
"Before",47,71,218,232,10,7,72,0,0.215596330275229,0.325688073394495,0.25,0.575688073394495,0.287769784172662,0.315789473684211,0.043859649122807,80,83.1868098159509,19.0613496932515,145,68,0.468965517241379
