"game_date","period","H","TB","AB","BB","HR","K","SF","AVG","SLG","OBP","OPS","BABIP","Kpct","BBpct"
2025-06-03,"After",1,1,4,1,0,2,0,0.25,0.25,0.4,0.65,0.5,0.4,0.2
2025-06-04,"After",0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-06-06,"After",0,0,4,0,0,2,0,0,0,0,0,0,0.5,0
2025-06-07,"After",3,4,5,0,0,0,0,0.6,0.8,0.6,1.4,0.6,0,0
2025-06-08,"After",2,5,4,1,1,0,0,0.5,1.25,0.6,1.85,0.333333333333333,0,0.2
2025-06-09,"After",2,2,6,0,0,2,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0
2025-06-10,"After",2,5,4,0,1,1,0,0.5,1.25,0.5,1.75,0.5,0.25,0
2025-06-11,"After",0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-06-13,"After",1,1,4,0,0,0,0,0.25,0.25,0.25,0.5,0.25,0,0
2025-06-14,"After",2,4,4,0,0,0,0,0.5,1,0.5,1.5,0.5,0,0
2025-06-15,"After",1,1,4,0,0,3,0,0.25,0.25,0.25,0.5,1,0.75,0
2025-06-16,"After",0,0,3,1,0,1,0,0,0,0.25,0.25,0,0.25,0.25
2025-06-17,"After",0,0,2,0,0,1,0,0,0,0,0,0,0.5,0
2025-06-18,"After",1,4,4,0,1,2,0,0.25,1,0.25,1.25,0,0.5,0
2025-06-20,"After",0,0,4,0,0,2,0,0,0,0,0,0,0.5,0
2025-06-21,"After",3,3,4,0,0,1,0,0.75,0.75,0.75,1.5,1,0.25,0
2025-06-22,"After",0,0,4,0,0,2,0,0,0,0,0,0,0.5,0
2025-06-23,"After",2,5,4,0,1,1,0,0.5,1.25,0.5,1.75,0.5,0.25,0
2025-06-24,"After",0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,"After",1,1,4,0,0,1,0,0.25,0.25,0.25,0.5,0.333333333333333,0.25,0
2025-06-27,"After",0,0,3,0,0,2,0,0,0,0,0,0,0.666666666666667,0
2025-06-28,"After",2,3,3,1,0,0,0,0.666666666666667,1,0.75,1.75,0.666666666666667,0,0.25
2025-06-29,"After",1,1,4,0,0,1,0,0.25,0.25,0.25,0.5,0.333333333333333,0.25,0
2025-06-30,"After",2,6,4,1,1,0,0,0.5,1.5,0.6,2.1,0.333333333333333,0,0.2
2025-07-01,"After",1,2,4,0,0,1,0,0.25,0.5,0.25,0.75,0.333333333333333,0.25,0
2025-07-02,"After",3,4,4,0,0,0,0,0.75,1,0.75,1.75,0.75,0,0
2025-07-04,"After",4,7,5,0,1,0,0,0.8,1.4,0.8,2.2,0.75,0,0
2025-07-05,"After",1,1,4,0,0,0,0,0.25,0.25,0.25,0.5,0.25,0,0
2025-07-06,"After",1,4,4,0,1,1,0,0.25,1,0.25,1.25,0,0.25,0
2025-07-07,"After",0,0,4,0,0,1,0,0,0,0,0,0,0.25,0
2025-07-08,"After",2,5,4,0,1,1,0,0.5,1.25,0.5,1.75,0.5,0.25,0
